Before|After
Previously|Currently
Me|Them
What I initially did|The actual solution
Let's turn this:|Into this:
Past|Present
Past|Future
Present|Future
The Plan|How it worked out
The {seed.title} Plan|How {seed.singular.lower} worked out
Plan|Execution
How I see {seed.plural}:|What {seed.plural} actually are:
How I used to {seed.wikihow_action.lower}|After I learned how to {seed.wikihow_action.lower}
My {seed.singular.title} Plan|Their {seed.singular.title} Plan
How they see it|What it actually is
How they see {seed.wikihow_action.ing.lower}|What it actually is
How they see {seed.wikihow_action.ing.lower}|What {seed.singular} actually means
How I see it|What it actually is
Stereotype|Reality
{seed.title}'s Stereotype|{seed.title}'s Reality
Don't|Do
Don't {seed.wikihow_action.lower}|Do {seed.wikihow_action.lower}
Do {seed.wikihow_action.lower}|Don't {seed.wikihow_action.lower}
Do|Don't
Bad|Worse
Good|Better
Good|Bad
Bad|Good
Bad {seed.plural.title}|Good {seed.plural.title}
Bad {seed.plural.title}|Worse {seed.plural.title}
Expectation|Reality
How people used to {seed.wikihow_action.lower}|Now
How people used to {seed.wikihow_action.lower}|My proposal
How I initially approached {seed.wikihow_action.ing.lower}|What I should have done
Why {seed.plural} are great|Why {seed.plural} are awful
{seed.wikihow_action}|{topic.wikihow_action}
